Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
Notice of Intent to Publish a Funding Opportunity Announcement for Investigator Initiated Clinical Trials of Complementary and Integrative Interventions Delivered Remotely or via mHealth (R01 Clinical Trial Required),9/27/2023,,,NCCIH,NIH,None,NOT-AT-24-014,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AT-24-014.html
Prior Approval Requests for Revisions to an Approved Data Management and Sharing (DMS) Plan Must be Submitted Using the Prior Approval Module,9/27/2023,,,NIH,NIH,None,NOT-OD-23-185,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-185.html
Update to NIDDK Policy on Combined Support Between and Institutional Career Development Award and an Individual Career Development Award,9/27/2023,,,NIDDK,NIH,None,NOT-DK-23-025,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-23-025.html
"NIH Subaward Requirements: Domestic and Foreign  NIH Virtual Event - Tuesday, October 17, 2023",9/27/2023,,,NIH,NIH,None,NOT-OD-23-190,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-190.html
"Solicitation of Nominations for the 2023 National Human Genome Research Institutes Bettie J. Graham Leadership Award for Enhancing Diversity, Equity, Inclusion, and Accessibility in the Genomics Workforce",9/27/2023,,,NHGRI,NIH,None,NOT-HG-24-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HG-24-003.html
Fc-Dependent Mechanisms of Antibody-Mediated Killing (R01 Clinical Trial Not Allowed),9/26/2023,1/26/2024,R01,NIAID,NIH,None,RFA-AI-23-054,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-054.html
"Notice to Extend the Expiration Date for PA-20-272 ""Administrative Supplements to Existing NIH Grants and Cooperative Agreements (Parent Admin Supp Clinical Trial Optional)""",9/26/2023,,,NIH,NIH,None,NOT-OD-23-189,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-189.html
Developing novel theory and methods for understanding the genetic architecture of complex human traits (R01 Clinical Trial Not Allowed),9/26/2023,1/7/2027,R01,NHGRI,NIH,None,PAR-23-302,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-302.html
Developing novel theory and methods for understanding the genetic architecture of complex human traits (R21 Clinical Trial Not Allowed),9/26/2023,1/7/2027,R21,NHGRI,NIH,None,PAR-23-301,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-301.html
"Mechanistic Studies of the Effects of Psychosocial Stress on Complex Morbidity Involving SUD, Psychiatric Disorders, and HIV (R01 Basic Experimental Studies with Humans (BESH) Required)",9/26/2023,2/15/2024,R01,NIDA,NIH,None,RFA-DA-24-006,RFA,Basic_Trial,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-006.html
"Mechanistic Studies of the Effects of Psychosocial Stress on Complex Morbidity Involving SUD, Psychiatric Disorders, and HIV (R01 Clinical Trials Optional)",9/26/2023,2/15/2024,R01,NIDA,NIH,None,RFA-DA-24-005,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-005.html
"Notice of FY2024 Cohort Dates for PAR-22-073, Innovation Corps (I-Corps) at NIH Program for NIH and CDC Translational Research (Admin Supp Clinical Trial Not Allowed)",9/26/2023,,,OD,NIH,None,NOT-OD-23-188,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-188.html
Senator Paul D. Wellstone Muscular Dystrophy Specialized Research Centers (MDSRC) (P50 Clinical Trial Optional),9/26/2023,11/28/2023,P50,NINDS,NIH,"NIAMS, NICHD",RFA-NS-23-032,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-23-032.html
Health and Health Care Disparities Among Persons Living with Disabilities (R01 - Clinical Trials Optional),9/26/2023,11/5/2026,R01,NIMHD,NIH,"NCI, NEI, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDCD, NINDS, NINR, OBSSR, SGMRO",PAR-23-309,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-309.html
Notice of Availability: Draft Scientific Integrity Policy of the National Institutes of Health,9/25/2023,,,OD,NIH,None,NOT-OD-23-183,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-183.html
Interventions to Address HIV-Related Comorbidities among Highly Affected Populations Experiencing Health Disparities (R01 - Clinical Trial Required),9/25/2023,12/11/2026,R01,NIMHD,NIH,"ORWH, SGMRO",RFA-MD-24-003,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-24-003.html
